Distance   Hits geneID-repeat position-rep num-Chromosome
-182342    1    83259-5318715-16.0-NC_000024.10 
-149761    1    83259-5351296-19.0-NC_000024.10 
-140726    1    83259-5360331-16.0-NC_000024.10 
-91018     1    83259-5410039-14.0-NC_000024.10 
-31336     1    22829-14792852-20.0-NC_000024.10 
-22841     1    83869-18956273-22.0-NC_000024.10 
-17083     1    83869-18950525-17.0-NC_000024.10 
-14237     1    22829-14540100-12.5-NC_000024.10 
-12434     1    83259-5085781-16.0-NC_000024.10 
-10339     1    100533178-21396671-12.5-NC_000024.10 
-4703      1    83259-5732569-12.0-NC_000024.10 
-3460      1    8287-12767608-16.0-NC_000024.10 
-2985      1    8287-12754207-13.0-NC_000024.10 
-2463      1    22829-14730989-22.0-NC_000024.10 
-2310      1    90665-6975903-13.5-NC_000024.10 
-1776      1    83259-5096439-19.0-NC_000024.10 
-1715      1    107987344-12380434-15.5-NC_000024.10 
-1492      1    252954-9803282-22.0-NC_000024.10 
-1290      1    8287-12769778-12.0-NC_000024.10 
-769       1    22829-14553568-17.0-NC_000024.10 
-169       1    105379270-9394090-22.0-NC_000024.10 
-163       1    105379269-9373744-22.0-NC_000024.10 
-159       1    105379268-9353468-20.0-NC_000024.10 
-157       2    100289188-9482940-20.0-NC_000024.10 107987341-9503223-22.0-NC_000024.10 
-155       1    100289150-9462632-20.0-NC_000024.10 
-149       1    252946-9523560-12.0-NC_000024.10 
-147       1    100132932-6262220-15.0-NC_000024.10 
-50        4    100132932-6262117-18.0-NC_000024.10 105379268-9353363-18.0-NC_000024.10 105379269-9373639-18.0-NC_000024.10 105379270-9393979-18.0-NC_000024.10 
-48        2    100289188-9482846-12.5-NC_000024.10 252946-9523449-17.0-NC_000024.10 
-46        1    100289150-9462531-16.0-NC_000024.10 
-44        1    107987341-9503124-15.0-NC_000024.10 
16         6    378948-21513475-23.0-NC_000024.10 5940-21537016-23.0-NC_000024.10 378951-22405572-20.0-NC_000024.10 378949-21892342-24.0-NC_000024.10 378950-21915883-24.0-NC_000024.10 159163-22180808-19.0-NC_000024.10 
85         1    105377236-21823528-20.0-NC_000024.10 
179        2    101929148-22465311-14.5-NC_000024.10 102725532-22121077-14.5-NC_000024.10 
180        1    252954-9801487-18.5-NC_000024.10 
537        1    9086-20590112-13.0-NC_000024.10 
1097       1    378949-21877501-19.0-NC_000024.10 
1227       1    7404-13395660-16.0-NC_000024.10 
1502       1    22829-14526438-12.0-NC_000024.10 
1999       2    101929148-22441783-18.5-NC_000024.10 102725532-22144603-19.5-NC_000024.10 
2195       1    107987339-7803267-17.0-NC_000024.10 
2538       1    5940-21551864-19.0-NC_000024.10 
2684       1    7404-13436968-18.0-NC_000024.10 
6167       1    7544-2941936-14.0-NC_000024.10 
7209       1    83259-5064668-17.0-NC_000024.10 
8200       1    83259-5113798-14.0-NC_000024.10 
9702       1    107987338-7468429-12.0-NC_000024.10 
9833       1    22829-14534769-19.0-NC_000024.10 
11085      1    83259-5068544-18.0-NC_000024.10 
15271      1    22829-14637862-11.5-NC_000024.10 
19709      1    100533178-21431913-11.5-NC_000024.10 
24690      1    83259-5525945-12.0-NC_000024.10 
49029      1    83259-5154627-12.0-NC_000024.10 
50565      1    83259-5156163-13.5-NC_000024.10 
52990      1    83259-5634788-16.5-NC_000024.10 
61921      1    83259-5167519-22.0-NC_000024.10 
